                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3802,                 1.1677,                 1.1178,                0.68483,                0.52113,                0.58996,                0.35486,                 1.3057,                  1.022,                 1.0931,               0.067045,             0.00033288,             0.00033288
                      2,                 1.2998,                0.95493,                 1.0951,                 0.7073,                0.54172,                0.61695,                0.37288,                 1.3023,                0.93273,                 1.0785,               0.034031,             0.00065302,             0.00065302
                      3,                 1.2863,                0.91657,                 1.0886,                0.72049,                0.54614,                0.62418,                0.37813,                 1.2918,                0.92015,                 1.0744,              0.0010051,             0.00095997,             0.00095997
                      4,                 1.2627,                0.87897,                 1.0785,                0.72422,                0.54915,                0.63064,                0.38963,                 1.2508,                0.86433,                 1.0638,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2483,                0.85792,                 1.0722,                0.73745,                0.56088,                0.63322,                0.38596,                 1.2765,                0.87146,                 1.0723,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2304,                0.83476,                 1.0653,                0.74338,                0.55777,                 0.6424,                0.40183,                 1.2143,                0.86024,                 1.0522,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.2087,                0.81063,                 1.0524,                0.75752,                0.57219,                0.65045,                0.40187,                 1.2278,                0.85804,                 1.0521,               0.000901,               0.000901,               0.000901
                      8,                 1.2045,                0.80147,                 1.0518,                0.75265,                0.56286,                0.65553,                0.40962,                 1.2038,                0.80844,                 1.0474,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.1997,                0.79678,                 1.0534,                0.75116,                0.56342,                0.64983,                0.40029,                 1.2267,                0.82639,                 1.0584,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1894,                0.78784,                  1.048,                0.76354,                0.56964,                 0.6584,                0.41361,                 1.1933,                0.81972,                 1.0425,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1628,                0.76293,                 1.0368,                0.76053,                0.57079,                 0.6605,                0.41393,                 1.1951,                0.79341,                 1.0388,              0.0008218,              0.0008218,              0.0008218
